66,b,De rien
66,c,inciter
66,d,un mauvais sens de l'orientation
67,a,verts
67,b,jaunes
67,c,indiquer
67,d,bleues
68,a,verts
68,b,enchanté
68,c,un bon sens de l'orientation
68,d,vouloir
69,a,Derien
69,b,pourriez-vous 
69,c,théâtre 
69,d,bien
70,a,photography
70,b,indiquer
70,c,davantage
70,d,travailler
71,a,une nouvelle
71,b,un incendie
71,c,blessé
71,d,un journaliste
72,a,découvert
72,b,personne
72,c,une personne
72,d,J'espère que...
73,a,la police
73,b,annoncer
73,c,Que s'est-il passé ?
73,d,Qu'est-il arrivé ?
74,a,Que s'est-il passé ?
74,b,blessé
74,c,une personne
74,d,J'espère que...
75,a,une nouvelle
75,b,personne
75,c,un incendie
75,d,annoncer
76,a,découvert
76,b,Qu'est-il arrivé ?
76,c,un journaliste
76,d,la police
77,a,annoncer
77,b,un incendie
77,c,rouge
77,d,inciter
78,a,une personne
78,b,personne
78,c,une nouvelle
78,d,à mon avis
79,a,davantage
79,b,pas assez
79,c,un incendie
79,d,une nouvelle
80,a,J'espère que...
80,b,vouloir
80,c,bien
80,d,je souhaiterais
